code,web_name,expected_points
118748,M.Salah,9.404737839545168
194634,Diogo J.,7.119683655536028
153682,Wilson,7.007543859649123
244731,Luis Díaz,6.771794871794873
476344,Duran,6.704285714285715
181284,Guedes,6.700000000000001
172780,Maddison,6.599115044247788
244851,Palmer,6.513992762364296
223340,Saka,6.442586750788644
232792,Lamptey,6.011729106628243
513418,Schade,5.931451990632319
224995,Sinisterra,5.891477832512316
222683,Kluivert,5.865444839857652
446008,Mbeumo,5.706129032258065
97299,Stones,5.611951219512196
168636,Enes Ünal,5.5029032258064525
220362,Disasi,5.500000000000001
178301,Watkins,5.41992125984252
67089,Dúbravka,5.41
223094,Haaland,5.407788180222353
111317,Brooks,5.374615384615384
219168,Isak,5.331739130434783
533463,O.Dango,5.306377171215881
85971,Son,5.2526490066225175
242898,Johnson,5.1546125461254615
248857,Madueke,5.137410071942447
248875,Doku,5.137398843930636
60689,Wood,5.123333333333333
61366,De Bruyne,5.1134567901234576
114243,J.Murphy,5.105503211991435
96994,De Cordova-Reid,5.097822878228783
216646,Wissa,5.096523534269199
205651,G.Jesus,5.076470588235294
517052,N.Jackson,5.0671554252199416
169187,Alexander-Arnold,5.062719633307869
554605,Huijsen,4.997594936708861
206325,Zinchenko,4.963829787234042
18892,Young,4.956872037914692
88894,Barkley,4.945223880597015
206915,Jones,4.918633540372671
213198,Nkunku,4.9154639175257735
430871,Cunha,4.9
201666,Barnes,4.896727989487516
226597,Gabriel,4.883425414364641
444145,Martinelli,4.870561998215878
227444,Milenković,4.862222222222222
244850,Rogers,4.847601026298911
449434,Elanga,4.837555129434325
502222,Sosa,4.805165876777252
231416,F.Kadıoğlu,4.755454545454546
209243,Sancho,4.658620689655173
159506,Aina,4.641247717589775
244042,Muniz,4.632348754448399
222531,Gibbs-White,4.6265979381443305
102057,Raúl,4.613674911660778
433154,McNeil,4.58421052631579
204716,Konaté,4.579671457905544
243298,Gakpo,4.511607142857143
477424,Gvardiol,4.5090839694656495
215136,N.Williams,4.508805309734514
475168,João Pedro,4.45873417721519
116216,Trossard,4.453816046966732
444102,Evanilson,4.451538461538462
154566,Solanke,4.3753173483779975
445044,Kulusevski,4.36328437917223
209289,Smith Rowe,4.3536363636363635
153133,Iwobi,4.315903614457833
535818,Adingra,4.305260663507109
424876,Szoboszlai,4.295740905057675
448514,Aït-Nouri,4.288349514563107
437730,Semenyo,4.265862068965518
232826,Gordon,4.238870292887029
428399,João Félix,4.234293948126801
462424,Saliba,4.209172546504169
485047,Morato,4.177845303867404
97032,Virgil,4.177777777777777
510281,Sávio,4.170616740088106
592031,Minteh,4.163846153846154
463034,Delap,4.15830258302583
106611,Keane,4.122222222222222
440089,Damsgaard,4.113520710059172
178186,Bowen,4.108913043478261
480455,Branthwaite,4.105882352941176
180736,Chalobah,4.102452830188679
575476,Murillo,4.097701941139637
76357,Cairney,4.088939929328623
441164,Pedro Porro,4.06796875
87835,Doherty,4.051898734177215
184754,Hee Chan,4.037767220902612
445122,J.Timber,4.029032258064516
85633,Sels,4.016315789473684
232185,I.Sarr,4.006610169491525
536916,Buonanotte,4.001304347826087
50175,Welbeck,3.997218721872187
493250,Amad,3.991691498685364
487838,Hall,3.9743286573146293
156689,Andreas,3.9717232375979115
165153,Werner,3.9689655172413794
219847,Havertz,3.967567567567568
